instance_type,region,os,tenancy,pre_install,on_demand_hourly,reserved_one_all_yearly,reserved_one_partial_yearly,reserved_one_partial_hourly,reserved_one_no_hourly
i3.xlarge,ap-northeast-2,Linux,Shared,NA,0.366,2042.0,1042.0,0.119,0.248
t2.large,us-west-2,RHEL,Shared,NA,0.154,1075.0,280.0,0.092,0.1272
c4.large,eu-central-1,Windows,Shared,NA,0.206,1445.0,727.0,0.084,0.171
r3.large,eu-central-1,Linux,Shared,NA,0.2,1079.0,744.0,0.041,0.146
c3.2xlarge,us-west-1,Windows,Dedicated,SQL Web,1.191,6223.0,2536.0,0.436,0.848
c4.xlarge,eu-central-1,Windows,Shared,SQL Web,0.652,3662.0,1866.0,0.213,0.413
i3.16xlarge,eu-west-1,Windows,Dedicated,SQL Server Enterprise,32.448,266742.0,133685.0,15.261,30.707
x1.32xlarge,ap-southeast-2,SUSE,Shared,NA,19.441,97728.0,49889.0,5.688,11.951
r3.2xlarge,ap-northeast-1,RHEL,Shared,NA,0.928,5598.0,2953.0,0.312,0.727
r4.8xlarge,ap-southeast-1,Windows,Dedicated,NA,4.288,27400.0,13848.0,1.581,3.2461
m4.large,us-east-1,RHEL,Shared,NA,0.16,1032.0,258.0,0.0895,0.122
t1.micro,ap-southeast-1,Windows,Shared,NA,0.02,138.0,62.0,0.009,0.019
i3.4xlarge,ap-northeast-1,Linux,Shared,NA,1.464,8169.0,4168.0,0.476,0.991
t2.2xlarge,ap-southeast-2,Linux,Shared,NA,0.512,3297.0,1682.0,0.192,0.4099
i3.large,ap-south-1,Windows,Dedicated,NA,0.287,1892.0,957.0,0.109,0.226
r4.xlarge,ap-southeast-1,Windows,Dedicated,SQL Web,0.607,4047.0,2042.0,0.233,0.4768
c4.xlarge,sa-east-1,RHEL,Dedicated,NA,0.4,2509.0,1012.0,0.176,0.303
x1.16xlarge,us-gov-west-1,Linux,Dedicated,NA,8.803,44354.0,22629.0,2.583,5.425
m1.medium,ap-northeast-1,Windows,Dedicated,SQL Web,0.261,1597.0,657.0,0.111,0.217
r3.4xlarge,us-east-1,Windows,Dedicated,SQL Web,2.525,13045.0,8650.0,0.533,1.779
p2.16xlarge,ap-southeast-2,Windows,Shared,NA,27.616,167103.0,84994.0,9.702,20.228
m3.2xlarge,ap-southeast-2,Windows,Dedicated,SQL Std,2.773,14183.0,5796.0,0.991,1.934
r4.8xlarge,sa-east-1,SUSE,Dedicated,NA,5.028,25674.0,13127.0,1.491,3.1376
c3.2xlarge,ap-northeast-1,Windows,Dedicated,SQL Server Enterprise,3.93,32817.0,16442.0,1.877,3.82
hi1.4xlarge,eu-west-1,Windows,Dedicated,SQL Std,4.607,22534.0,7269.0,1.146,3.071
m1.xlarge,us-west-2,Windows,Dedicated,SQL Web,0.913,4386.0,1797.0,0.306,0.597
d2.2xlarge,us-west-1,SUSE,Shared,NA,1.663,7501.0,3855.0,0.433,1.016
m2.4xlarge,ap-southeast-1,Windows,Shared,SQL Std,2.976,16018.0,6534.0,1.12,2.183
c3.8xlarge,ap-southeast-1,SUSE,Shared,NA,2.217,11926.0,5880.0,0.718,1.604
c4.8xlarge,ca-central-1,Windows,Shared,NA,3.406,24133.0,12165.0,1.389,2.832
r4.xlarge,ca-central-1,SUSE,Dedicated,NA,0.421,1944.0,1020.0,0.109,0.2363
x1.16xlarge,eu-west-1,Windows,Dedicated,SQL Web,13.074,81768.0,41336.0,4.719,9.451
d2.xlarge,ap-southeast-1,SUSE,Shared,NA,0.97,4048.0,2098.0,0.232,0.55
m4.4xlarge,eu-central-1,Windows,Dedicated,SQL Web,2.074,12956.0,6610.0,0.755,1.7387
r4.4xlarge,sa-east-1,Windows,Shared,NA,2.976,17985.0,9110.0,1.04,2.1472
m3.2xlarge,us-east-1,SUSE,Shared,NA,0.632,3125.0,1859.0,0.152,0.413
c4.4xlarge,eu-west-1,Windows,Dedicated,SQL Web,2.111,14167.0,7229.0,0.826,1.702
t2.small,eu-west-1,Linux,Shared,NA,0.025,146.0,74.0,0.008,0.0181
r3.large,ap-south-1,Windows,Shared,SQL Std,1.019,8324.0,4173.0,0.476,0.974
x1.16xlarge,ap-southeast-2,Linux,Shared,NA,9.671,48719.0,24856.0,2.838,5.959
r3.4xlarge,us-west-2,Windows,Shared,SQL Server Enterprise,8.066,65192.0,32659.0,3.728,7.579
d2.2xlarge,us-west-2,Linux,Dedicated,NA,1.518,6494.0,3313.0,0.378,0.884
i2.4xlarge,ap-northeast-2,Windows,Dedicated,SQL Std,7.97,51359.0,25885.0,2.955,6.308
i3.large,ap-south-1,Windows,Shared,SQL Web,0.34,2416.0,1218.0,0.139,0.285
m4.16xlarge,ap-northeast-1,Windows,Dedicated,SQL Server Enterprise,31.072,256487.0,128452.0,14.664,29.732
m1.medium,us-gov-west-1,Windows,Shared,SQL Std,0.792,4193.0,1840.0,0.316,0.615
i3.large,eu-central-1,Linux,Dedicated,NA,0.205,1142.0,582.0,0.066,0.139
c4.xlarge,eu-west-1,RHEL,Shared,NA,0.286,1796.0,648.0,0.134,0.215
c4.large,ap-southeast-2,Windows,Dedicated,SQL Std,1.362,8813.0,4486.0,0.513,1.201
